CMDLINE C:\Users\Алексей\AppData\Local\Programs\Python\Python311\python.exe mem_test.py
MEM 2010.066406 1685209942.5851
MEM 2010.066406 1685209942.6859
MEM 2010.066406 1685209942.7868
MEM 2010.066406 1685209942.8871
MEM 2010.066406 1685209942.9877
MEM 2010.078125 1685209943.0885
MEM 2010.078125 1685209943.1897
MEM 2010.078125 1685209943.2903
MEM 2010.078125 1685209943.3911
MEM 2010.078125 1685209943.4917
MEM 2010.078125 1685209943.5926
MEM 2010.078125 1685209943.6931
MEM 2010.078125 1685209943.7943
MEM 2010.078125 1685209943.8951
MEM 2010.078125 1685209943.9960
MEM 2010.078125 1685209944.0972
MEM 2010.078125 1685209944.1983
MEM 2010.078125 1685209944.2988
MEM 2010.078125 1685209944.3995
MEM 2010.078125 1685209944.5001
MEM 2010.078125 1685209944.6005
MEM 2010.078125 1685209944.7016
MEM 2010.078125 1685209944.8026
MEM 2010.078125 1685209944.9037
MEM 2010.078125 1685209945.0050
MEM 2010.078125 1685209945.1056
MEM 2010.078125 1685209945.2065
MEM 2010.078125 1685209945.3075
MEM 2010.078125 1685209945.4081
MEM 2010.078125 1685209945.5085
MEM 2010.078125 1685209945.6093
MEM 2010.078125 1685209945.7100
MEM 2010.078125 1685209945.8108
MEM 2010.078125 1685209945.9117
MEM 2010.078125 1685209946.0121
MEM 2010.078125 1685209946.1128
MEM 2010.078125 1685209946.2140
MEM 2010.078125 1685209946.3145
MEM 2010.078125 1685209946.4153
MEM 2010.078125 1685209946.5157
MEM 2010.078125 1685209946.6163
MEM 2010.078125 1685209946.7165
MEM 2010.078125 1685209946.8170
MEM 2010.078125 1685209946.9176
MEM 2010.078125 1685209947.0189
MEM 2010.078125 1685209947.1199
MEM 2010.078125 1685209947.2205
MEM 2010.078125 1685209947.3212
MEM 2010.078125 1685209947.4222
MEM 2010.078125 1685209947.5234
MEM 2010.078125 1685209947.6239
MEM 2010.078125 1685209947.7251
MEM 2010.078125 1685209947.8258
MEM 2010.078125 1685209947.9262
MEM 2010.078125 1685209948.0267
MEM 2010.078125 1685209948.1273
MEM 2010.078125 1685209948.2283
MEM 2010.078125 1685209948.3291
MEM 2010.078125 1685209948.4300
MEM 2010.078125 1685209948.5311
MEM 2010.078125 1685209948.6315
MEM 2010.078125 1685209948.7323
MEM 2010.078125 1685209948.8327
MEM 2010.078125 1685209948.9332
MEM 2010.078125 1685209949.0337
MEM 2010.078125 1685209949.1345
MEM 2010.078125 1685209949.2355
MEM 2010.078125 1685209949.3366
MEM 2010.078125 1685209949.4373
MEM 2010.078125 1685209949.5381
MEM 2010.078125 1685209949.6394
MEM 2010.078125 1685209949.7405
MEM 2010.078125 1685209949.8407
MEM 2010.078125 1685209949.9411
MEM 2010.078125 1685209950.0428
MEM 2010.078125 1685209950.1430
MEM 2010.078125 1685209950.2440
MEM 2010.078125 1685209950.3448
MEM 2010.078125 1685209950.4456
MEM 2010.078125 1685209950.5467
MEM 2010.078125 1685209950.6476
MEM 2010.078125 1685209950.7481
MEM 2010.078125 1685209950.8491
MEM 2010.078125 1685209950.9495
MEM 2010.078125 1685209951.0500
MEM 2010.078125 1685209951.1504
MEM 2010.078125 1685209951.2512
MEM 2010.078125 1685209951.3520
MEM 2010.078125 1685209951.4525
MEM 2010.078125 1685209951.5534
MEM 2010.078125 1685209951.6538
MEM 2010.078125 1685209951.7544
MEM 2010.078125 1685209951.8556
MEM 2010.078125 1685209951.9564
MEM 2010.078125 1685209952.0572
MEM 2010.078125 1685209952.1581
MEM 2010.078125 1685209952.2590
MEM 2010.078125 1685209952.3597
MEM 2010.078125 1685209952.4610
MEM 2010.078125 1685209952.5620
MEM 2010.078125 1685209952.6625
MEM 2010.078125 1685209952.7635
MEM 2010.078125 1685209952.8643
MEM 2010.078125 1685209952.9652
MEM 2010.078125 1685209953.0656
MEM 2010.078125 1685209953.1666
MEM 2010.078125 1685209953.2674
MEM 2010.078125 1685209953.3679
MEM 2010.078125 1685209953.4686
MEM 2010.078125 1685209953.5693
MEM 2010.078125 1685209953.6704
MEM 2010.078125 1685209953.7712
MEM 2010.078125 1685209953.8718
MEM 2010.078125 1685209953.9728
MEM 2010.078125 1685209954.0738
MEM 2010.078125 1685209954.1746
MEM 2010.078125 1685209954.2756
MEM 2010.078125 1685209954.3760
MEM 2010.078125 1685209954.4763
MEM 2010.078125 1685209954.5771
MEM 2010.078125 1685209954.6781
MEM 2010.078125 1685209954.7793
MEM 2010.078125 1685209954.8805
MEM 2010.078125 1685209954.9810
MEM 2010.078125 1685209955.0817
MEM 2010.078125 1685209955.1826
MEM 2010.078125 1685209955.2831
MEM 2010.078125 1685209955.3842
MEM 2010.078125 1685209955.4855
MEM 2010.078125 1685209955.5866
MEM 2010.078125 1685209955.6869
MEM 2010.078125 1685209955.7874
MEM 2010.078125 1685209955.8885
MEM 2010.078125 1685209955.9893
MEM 2010.078125 1685209956.0898
MEM 2010.078125 1685209956.1908
MEM 2010.078125 1685209956.2913
MEM 2010.078125 1685209956.3925
MEM 2010.078125 1685209956.4928
MEM 2010.078125 1685209956.5939
MEM 2010.078125 1685209956.6945
MEM 2010.078125 1685209956.7949
MEM 2010.078125 1685209956.8957
MEM 2010.078125 1685209956.9963
MEM 2010.078125 1685209957.0966
MEM 2010.078125 1685209957.1980
MEM 2010.078125 1685209957.2987
MEM 2010.078125 1685209957.3995
MEM 2010.078125 1685209957.5000
MEM 2010.078125 1685209957.6005
MEM 2010.078125 1685209957.7013
MEM 2010.078125 1685209957.8024
MEM 2010.078125 1685209957.9031
MEM 2010.078125 1685209958.0037
MEM 2010.078125 1685209958.1048
MEM 2010.078125 1685209958.2054
MEM 2010.078125 1685209958.3060
MEM 2010.078125 1685209958.4068
MEM 2010.078125 1685209958.5086
MEM 2010.078125 1685209958.6093
